name,ctype,csubtype,contract,address,all_categories
Fluffle,Consumer,Social,FluffleDragons,0x2ed99dbe114249b7611478d67818b399865ffc89,Consumer::Social;NFT::Other;Gaming::Mobile-First
Fluffle,Consumer,Social,FluffleFurniture,0x67f58f1faf78781b7eb90c457846e0f965bb1a2f,Consumer::Social;NFT::Other;Gaming::Mobile-First
Fluffle,Consumer,Social,FluffleSolveil,0x8255dacd8a45f4abe6dc821e6f7f3c92a8e22fbb,Consumer::Social;NFT::Other;Gaming::Mobile-First
Jenius,Consumer,Social,JenMon,0x0b60222ee89ab189cdfbdba4328ead42b6a34956,Consumer::Social;AI::Consumer AI;AI::Models
Talentum,Consumer,Social,TalentumBuyBattlePass,0xe3885a21005434c53d945c3a717bcb23b49412e9,Consumer::Social;Consumer::Other;Gaming::Games;Gaming::Other;NFT::NFTFi
Talentum,Consumer,Social,TalentumBuyProduct,0xe610baf2d321199be47ba943f2610bc82bab774b,Consumer::Social;Consumer::Other;Gaming::Games;Gaming::Other;NFT::NFTFi
Talentum,Consumer,Social,TalentumDaily,0x4816287183534b5ced5ee93f098962d7db144845,Consumer::Social;Consumer::Other;Gaming::Games;Gaming::Other;NFT::NFTFi
Talentum,Consumer,Social,TalentumMultiSend,0x5768af66fcff11328fde25398cc61bb201185697,Consumer::Social;Consumer::Other;Gaming::Games;Gaming::Other;NFT::NFTFi
Talentum,Consumer,Social,TalentumNativeStaking,0xf42d150e621b7be050beb71c0f6e89a63bfaa95f,Consumer::Social;Consumer::Other;Gaming::Games;Gaming::Other;NFT::NFTFi
Talentum,Consumer,Social,TalentumProof,0x28849cc5a79ce2f94958ff8f853140bce865dafa,Consumer::Social;Consumer::Other;Gaming::Games;Gaming::Other;NFT::NFTFi
Talentum,Consumer,Social,TalentumWheelSpin,0x05f9dfef3e95228695bf449d96181b785144b456,Consumer::Social;Consumer::Other;Gaming::Games;Gaming::Other;NFT::NFTFi
Talentum,Consumer,Social,TalentumWithdrawManager,0x429b401717130d24ed5c92805141442defb6ce1d,Consumer::Social;Consumer::Other;Gaming::Games;Gaming::Other;NFT::NFTFi
Yap Market,Consumer,Social,Escrow,0x29957e3b3dabedbe830b0de53c2c9293d0db1bda,Consumer::Social
StakeStone,DeFi,Asset Issuers,LayerZeroAdapter,0xec901da9c68e90798bbbb74c11406a32a70652c3,DeFi::Asset Issuers;DeFi::Liquid Staking;DeFi::Stablecoin;DeFi::Yield
StakeStone,DeFi,Asset Issuers,STONEUSD,0x095957ceb9f317ac1328f0ab3123622401766d71,DeFi::Asset Issuers;DeFi::Liquid Staking;DeFi::Stablecoin;DeFi::Yield
Covenant,DeFi,CDP,Covenant,0x11a7ab0a9d7bd531dbcf0f0630bf7167f8f198f6,DeFi::CDP;DeFi::DEX;DeFi::Yield
Covenant,DeFi,CDP,CovenantCurator,0xab0f8ab1e67cc02a9d58fc27055292289b159094,DeFi::CDP;DeFi::DEX;DeFi::Yield
Covenant,DeFi,CDP,DataProvider,0x5c1fb9a1232e87702897424ec0852d30b713bfd8,DeFi::CDP;DeFi::DEX;DeFi::Yield
Covenant,DeFi,CDP,LatentSwapLEX - 50% targetLTV,0x6a5aa3df89ba1c1f8b471c72159458d61a9447c2,DeFi::CDP;DeFi::DEX;DeFi::Yield
Covenant,DeFi,CDP,LatentSwapLEX - 80% targetLTV,0x9a369df53ec62725c93f41b891e701bd88aff2c8,DeFi::CDP;DeFi::DEX;DeFi::Yield
Bungee.Exchange,DeFi,Cross Chain,BungeeGateway,0x1a2f1085a94de6fbcc334aae1ddf527c567b75e7,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,BungeeInbox,0xab568b1b49f8be7488ca1c0d5dda6ff94691e4c8,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,CCTPV2RouterSingleOutput,0x09b043840cd2f32687ec6b63fb0412585de39822,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,CalldataExecutor,0xa873aab6a98cb764ad6d52820d129d0e3667d9f9,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,Entrypoint,0x3bb92b8452bde5ac20c18e10e606fdc9ac19b414,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,FeeCollector,0x82260eac86558c0835d08eeff360014aea7454b6,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,GenericStakedRoute,0x5013c0b3defd8f832d1b6dec750382946de5c13b,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,RFQRouterSingleOutput,0x7aea2188414c6d22ce15b2b0b2870bce69e5e5d5,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,SingleOutputRequestImpl,0x27d966329a325f214b4854a4f0e62550bfebdca3,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,StakedRouterExecutor,0x12efda5e4d410c5da723ceb7e43942779e3fe49b,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,StakedRouterReceiver,0x26d8da52e56de71194950689ccf74cd309761324,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,StakedRouterSingleOutput,0x94d0bef156041af3ef0b9fec4784468e660045dd,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,SwapExecutor,0xd0389e84178f809903cbfe7d1efae3efa9c1769c,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,SwapRequestCallback,0x88a8596e2b51512aab3867cc895d7047e1d9ef7b,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,SwapRequestImpl,0x01d8a85adb82408e14bc242ed43fbad0ca2f94cb,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,SwitchboardPlug,0xf20b3cb7508c519296556c1caa9db6f210e0232a,DeFi::Cross Chain;Infra::Interoperability
Bungee.Exchange,DeFi,Cross Chain,SwitchboardRouter,0x3859ad748d03c358aabb66d084bc5849b624e611,DeFi::Cross Chain;Infra::Interoperability
CCTP Exchange,DeFi,Cross Chain,RathCctpRouter,0x9ebe71d432cf73f7baca46e3a59080609375b844,DeFi::Cross Chain;Infra::Interoperability
Cashmere,DeFi,Cross Chain,CashmereCCTP,0xd156ffb54871f4562744d6be5d6321b5bffca3b6,DeFi::Cross Chain
Garden,DeFi,Cross Chain,htlc_native,0xe413743b51f3cc8b3ac24addf50d18fa138cb0bb,DeFi::Cross Chain
Garden,DeFi,Cross Chain,htlc_usdc,0x5fa58e4e89c85b8d678ade970bd6afd4311af17e,DeFi::Cross Chain
Mayan,DeFi,Cross Chain,MayanFastMctp,0xc1062b7c5dc8e4b1df9f200fe360cdc0ed6e7741,DeFi::Cross Chain;DeFi::DEX;DeFi::Intents;DeFi::Memecoin;DeFi::Stableswap;DeFi::Trading Interfaces
Mayan,DeFi,Cross Chain,MayanFastMctpFeeManager,0x598400ba0d8ba9c3b57ad424a68183f1d17c7e56,DeFi::Cross Chain;DeFi::DEX;DeFi::Intents;DeFi::Memecoin;DeFi::Stableswap;DeFi::Trading Interfaces
Mayan,DeFi,Cross Chain,MayanForwarder,0x337685fdab40d39bd02028545a4ffa7d287cc3e2,DeFi::Cross Chain;DeFi::DEX;DeFi::Intents;DeFi::Memecoin;DeFi::Stableswap;DeFi::Trading Interfaces
Mayan,DeFi,Cross Chain,MayanForwarderShimContractAddress,0x87a26566dbb3bf206634c1792a96ff4989e3f56e,DeFi::Cross Chain;DeFi::DEX;DeFi::Intents;DeFi::Memecoin;DeFi::Stableswap;DeFi::Trading Interfaces
Relay,DeFi,Cross Chain,relayDepository,0x4cd00e387622c35bddb9b4c962c136462338bc31,DeFi::Cross Chain
Relay,DeFi,Cross Chain,relayReceiver,0xf17902d51fdff7bf50aacc78d6bb399baf88b479,DeFi::Cross Chain
Relay,DeFi,Cross Chain,v2.1RelayApprovalProxy,0x58cc3e0aa6cd7bf795832a225179ec2d848ce3e7,DeFi::Cross Chain
Relay,DeFi,Cross Chain,v2.1RelayRouter,0x3ec130b627944cad9b2750300ecb0a695da522b6,DeFi::Cross Chain
Relay,DeFi,Cross Chain,v3RelayApprovalProxy,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,DeFi::Cross Chain
Relay,DeFi,Cross Chain,v3RelayRouter,0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,DeFi::Cross Chain
AethonSwap,DeFi,DEX,AlgebraFactory,0x05aa1d36f78d1242c40b3680d38eb1fee7060c20,DeFi::DEX
